,gender,age_range,age,race,charges,prior_arrest,compas_score,score_numeric
4563,Female,25 - 45,25,African-American,Aggravated Assault W/dead Weap,0,Medium,5
4564,Male,Greater than 45,51,Other,Grand Theft (motor Vehicle),14,Low,2
4565,Male,Greater than 45,46,Caucasian,arrest case no charge,2,Low,1
4566,Female,25 - 45,30,African-American,Driving Under The Influence,1,Low,3
4567,Female,Greater than 45,47,African-American,Disorderly Intoxication,0,Low,1
4568,Male,Less than 25,24,Caucasian,Grand Theft in the 3rd Degree,0,Low,3
4569,Male,25 - 45,37,Caucasian,arrest case no charge,5,Medium,1
4570,Female,25 - 45,29,Caucasian,,0,High,5
4571,Male,Less than 25,21,African-American,Batt/on a Specified Employee,0,Low,6
4572,Male,25 - 45,38,African-American,arrest case no charge,5,Low,1
4573,Male,Greater than 45,46,Caucasian,Battery,0,Low,1
4574,Male,25 - 45,31,Caucasian,arrest case no charge,9,High,4
4575,Male,Less than 25,21,African-American,Grand Theft in the 3rd Degree,1,Low,6
4576,Female,25 - 45,30,Caucasian,Possession of Cocaine,1,Low,2
4577,Male,25 - 45,41,Native American,Poss Contr Subst W/o Prescript,5,Low,2
4578,Male,Greater than 45,50,African-American,Possession of Cocaine,2,Low,1
4579,Male,Greater than 45,52,African-American,Neglect Child / Bodily Harm,0,Low,1
4580,Male,25 - 45,25,African-American,Poss Meth/Diox/Meth/Amp (MDMA),5,High,8
4581,Male,Greater than 45,60,African-American,arrest case no charge,10,High,4
4582,Female,Greater than 45,46,African-American,Battery,7,High,3
4583,Male,Less than 25,22,Caucasian,Battery,3,Medium,5
4584,Male,Greater than 45,62,Caucasian,Battery,3,Low,1
4585,Female,Greater than 45,75,African-American,Burglary Structure Unoccup,0,Low,1
4586,Male,Greater than 45,57,Other,Possession of Cocaine,10,Low,3
4587,Male,25 - 45,36,Caucasian,Battery,0,Medium,4
4588,Male,Less than 25,24,African-American,Trans/Harm/Material to a Minor,2,Low,4
4589,Male,Less than 25,23,Hispanic,Purchase Cannabis,0,Medium,5
4590,Male,25 - 45,37,Hispanic,Felony Battery (Dom Strang),3,Low,1
4591,Male,25 - 45,25,Caucasian,arrest case no charge,9,High,9
4592,Male,Less than 25,21,African-American,Battery,0,High,9
4593,Male,25 - 45,38,Asian,Battery,0,Low,1
4594,Male,25 - 45,25,Caucasian,Aggravated Battery / Pregnant,2,Low,5
4595,Male,25 - 45,29,African-American,Possession of Cannabis,5,Medium,5
4596,Male,Greater than 45,52,African-American,Battery,0,Low,1
4597,Male,25 - 45,33,Other,Battery,3,Low,3
4598,Male,25 - 45,29,African-American,Possession Burglary Tools,5,High,8
4599,Male,Greater than 45,59,African-American,Felony Petit Theft,13,Low,2
4600,Male,Less than 25,22,African-American,arrest case no charge,5,High,6
4601,Male,25 - 45,40,Caucasian,arrest case no charge,7,High,6
4602,Male,25 - 45,36,Caucasian,Possess Cannabis/20 Grams Or Less,3,Medium,1
4603,Male,25 - 45,39,African-American,Possession of Cannabis,2,Low,1
4604,Male,Greater than 45,48,Hispanic,Driving Under The Influence,1,Low,1
4605,Male,25 - 45,31,Other,Battery,3,Low,1
4606,Male,Less than 25,20,African-American,arrest case no charge,2,Low,7
4607,Male,Greater than 45,61,Asian,Battery,1,Low,1
4608,Male,Less than 25,20,African-American,Burglary Conveyance Unoccup,1,High,8
4609,Male,Greater than 45,50,Caucasian,DUI Property Damage/Injury,0,Low,1
4610,Male,25 - 45,27,African-American,Burglary Structure Unoccup,7,High,8
4611,Male,25 - 45,27,African-American,Battery,0,Low,2
4612,Male,25 - 45,31,Caucasian,Felony Petit Theft,4,Medium,2
4613,Female,25 - 45,32,African-American,Uttering a Forged Instrument,2,Low,2
4614,Male,25 - 45,39,African-American,Possession of Cocaine,11,High,4
4615,Female,Less than 25,24,African-American,Unlaw LicTag/Sticker Attach,2,Medium,5
4616,Male,Less than 25,24,African-American,Grand Theft (Motor Vehicle),4,High,9
4617,Male,25 - 45,30,Caucasian,Possess Cannabis/20 Grams Or Less,0,Low,3
4618,Male,Less than 25,21,African-American,arrest case no charge,2,Medium,8
4619,Male,Less than 25,24,Caucasian,Delivery Of Trenbolon Acetat,0,Low,2
4620,Male,25 - 45,41,Caucasian,Possession of Cocaine,0,Low,1
4621,Male,Greater than 45,67,African-American,Attempt Murder in the First Degree,1,Low,1
4622,Male,25 - 45,38,Other,Carrying Concealed Firearm,1,Low,3
4623,Male,Less than 25,20,Hispanic,,0,Medium,7
4624,Male,25 - 45,32,African-American,Possession of Cocaine,2,High,6
4625,Male,25 - 45,27,Caucasian,Possession of Cocaine,5,Medium,3
4626,Female,Less than 25,24,Caucasian,Grand Theft in the 3rd Degree,1,Medium,4
4627,Male,Greater than 45,69,Caucasian,DUI- Enhanced,0,Low,1
4628,Male,25 - 45,25,Caucasian,Possession of Cocaine,1,High,9
4629,Male,Greater than 45,55,Caucasian,Battery,0,Low,2
4630,Female,Greater than 45,55,Caucasian,,0,Low,1
4631,Male,25 - 45,28,African-American,Grand Theft in the 3rd Degree,7,High,7
4632,Male,Less than 25,20,Caucasian,Deliver Cannabis,2,High,7
4633,Male,Less than 25,21,Caucasian,Robbery / Weapon,3,Low,4
4634,Male,25 - 45,27,Caucasian,DUI Level 0.15 Or Minor In Veh,0,Low,2
4635,Male,25 - 45,28,African-American,Grand Theft in the 3rd Degree,0,Low,4
4636,Female,Less than 25,20,African-American,Battery on Law Enforc Officer,1,Medium,7
4637,Male,25 - 45,36,African-American,Driving While License Revoked,2,Low,2
4638,Female,25 - 45,26,African-American,Grand Theft in the 3rd Degree,6,High,6
4639,Female,25 - 45,39,Hispanic,Battery on a Person Over 65,10,Low,3
4640,Male,25 - 45,25,African-American,Deliver Cocaine,10,High,6
4641,Female,25 - 45,35,Caucasian,Battery,1,Low,2
4642,Male,25 - 45,31,Caucasian,Burglary Conveyance Unoccup,9,High,3
4643,Male,25 - 45,32,African-American,Battery,12,High,6
4644,Male,25 - 45,25,Native American,arrest case no charge,1,Low,3
4645,Male,Greater than 45,69,Other,Battery,0,Low,1
4646,Male,Less than 25,21,African-American,Possession Of Alcohol Under 21,0,Medium,8
4647,Male,Less than 25,21,Caucasian,Criminal Mischief Damage <$200,1,Medium,8
4648,Male,25 - 45,41,Caucasian,arrest case no charge,1,Low,1
4649,Male,Less than 25,21,Hispanic,Grand Theft in the 3rd Degree,0,Medium,6
4650,Male,25 - 45,29,Caucasian,arrest case no charge,1,Low,3
4651,Male,25 - 45,38,African-American,Driving While License Revoked,0,High,6
4652,Male,Less than 25,21,African-American,Tampering With Physical Evidence,1,High,9
4653,Male,25 - 45,26,African-American,arrest case no charge,11,High,7
4654,Male,Greater than 45,56,Hispanic,Violation of Injunction Order/Stalking/Cyberstalking,1,Low,1
4655,Male,25 - 45,31,Caucasian,Possess Cannabis/20 Grams Or Less,10,High,4
4656,Male,Greater than 45,56,African-American,Battery,0,Low,1
4657,Male,25 - 45,35,Caucasian,Viol Prot Injunc Repeat Viol,2,Low,3
4658,Male,25 - 45,34,African-American,Battery,5,Medium,6
4659,Male,Greater than 45,52,Caucasian,Battery,0,Low,1
4660,Male,Less than 25,21,African-American,arrest case no charge,0,High,8
4661,Male,25 - 45,43,African-American,Battery,8,Low,2
4662,Female,25 - 45,32,Caucasian,Grand Theft in the 3rd Degree,0,Low,2
4663,Male,Greater than 45,49,Caucasian,Robbery / No Weapon,5,Medium,3
4664,Male,Greater than 45,56,Caucasian,Carrying Concealed Firearm,11,Low,4
4665,Female,Less than 25,21,African-American,Battery,0,Low,5
4666,Female,25 - 45,29,African-American,arrest case no charge,2,Medium,5
4667,Male,25 - 45,28,African-American,Crim Use of Personal ID Info,5,Medium,3
4668,Female,Greater than 45,65,Caucasian,Introduce Contraband Into Jail,1,Low,1
4669,Male,25 - 45,25,Caucasian,Burglary Unoccupied Dwelling,1,Low,3
4670,Female,25 - 45,27,Caucasian,Battery,0,Low,3
4671,Male,25 - 45,29,Other,Possession Burglary Tools,6,Low,3
4672,Male,Greater than 45,48,Caucasian,Possession of Cocaine,20,High,6
4673,Male,25 - 45,25,African-American,Possess Cannabis/20 Grams Or Less,1,High,8
4674,Male,Less than 25,20,African-American,Battery,0,Low,6
4675,Male,Greater than 45,49,Other,Child Abuse,7,Medium,3
4676,Male,25 - 45,36,Caucasian,Battery,0,Low,1
4677,Male,25 - 45,42,Other,Assault,6,Low,1
4678,Male,Greater than 45,63,African-American,arrest case no charge,6,Low,2
4679,Male,25 - 45,40,Caucasian,Driving Under The Influence,0,Low,1
4680,Male,25 - 45,34,Hispanic,Felony Battery (Dom Strang),0,Low,3
4681,Male,Less than 25,21,African-American,Grand Theft in the 3rd Degree,1,High,9
4682,Male,25 - 45,27,Caucasian,Battery,1,Low,2
4683,Male,25 - 45,29,Hispanic,Battery,0,Low,1
4684,Male,25 - 45,35,Caucasian,Battery,0,High,5
4685,Male,25 - 45,32,African-American,arrest case no charge,9,Medium,2
4686,Female,Greater than 45,50,African-American,Battery,0,Low,2
4687,Male,Less than 25,24,Other,Battery,2,Low,4
4688,Male,25 - 45,31,African-American,Driving License Suspended,1,Low,1
4689,Male,25 - 45,28,African-American,,0,Low,5
4690,Female,25 - 45,25,African-American,Grand Theft in the 3rd Degree,0,Low,2
4691,Female,25 - 45,34,Caucasian,arrest case no charge,2,Low,2
4692,Male,Greater than 45,47,Caucasian,Battery,0,Low,1
4693,Male,25 - 45,33,Other,Felony Battery (Dom Strang),0,High,4
4694,Male,25 - 45,44,Caucasian,Battery,2,Low,1
4695,Male,25 - 45,44,Hispanic,Aggravated Assault w/Firearm,8,Low,2
4696,Male,Greater than 45,56,Hispanic,Poss Cocaine/Intent To Del/Sel,0,Low,1
4697,Male,Less than 25,23,African-American,Battery,0,Low,5
4698,Male,Greater than 45,54,African-American,Possession of Cocaine,10,Medium,1
4699,Male,Less than 25,21,African-American,arrest case no charge,1,Low,6
4700,Female,Less than 25,24,African-American,,0,High,8
4701,Male,25 - 45,38,Caucasian,Felony Petit Theft,17,High,8
4702,Male,Less than 25,21,African-American,Burglary Dwelling Occupied,2,High,8
4703,Male,25 - 45,25,Hispanic,Pos Cannabis W/Intent Sel/Del,0,Low,3
4704,Male,25 - 45,44,Caucasian,Felony Petit Theft,2,Low,3
4705,Male,Greater than 45,52,African-American,Resist/Obstruct W/O Violence,3,Low,1
4706,Female,Greater than 45,52,Caucasian,Felony Petit Theft,0,Low,2
4707,Male,Less than 25,21,African-American,Prowling/Loitering,0,High,8
4708,Male,25 - 45,31,African-American,arrest case no charge,4,Low,1
4709,Male,25 - 45,32,African-American,Battery,0,Low,1
4710,Female,25 - 45,30,Caucasian,arrest case no charge,9,Low,2
4711,Female,25 - 45,39,African-American,arrest case no charge,1,Low,1
4712,Male,Greater than 45,56,African-American,Possession of Cocaine,6,Low,1
4713,Male,Less than 25,22,Caucasian,Uttering Forged Bills,0,Medium,7
4714,Male,Greater than 45,49,Caucasian,Possession of Cocaine,8,Low,1
4715,Male,25 - 45,35,African-American,Possession of Oxycodone,12,High,7
4716,Male,25 - 45,34,Caucasian,,0,Low,1
4717,Female,Greater than 45,57,Caucasian,Felony/Driving Under Influence,2,Low,1
4718,Male,25 - 45,39,Caucasian,Burglary Dwelling Assault/Batt,1,Low,1
4719,Male,25 - 45,29,Caucasian,Battery,0,Low,2
4720,Female,25 - 45,28,Caucasian,Felony Committing Prostitution,3,High,3
4721,Male,Less than 25,23,African-American,Grand Theft in the 3rd Degree,2,Medium,8
4722,Male,25 - 45,26,Caucasian,Criminal Mischief>$200<$1000,0,Medium,3
4723,Male,Less than 25,22,Hispanic,Battery on a Person Over 65,5,Medium,9
4724,Female,Greater than 45,64,African-American,Resist/Obstruct W/O Violence,1,Low,1
4725,Female,Greater than 45,51,African-American,arrest case no charge,10,High,6
4726,Female,Greater than 45,58,Other,Harass Witness/Victm/Informnt,0,Low,1
4727,Male,Less than 25,20,Caucasian,arrest case no charge,0,Low,6
4728,Female,25 - 45,27,African-American,,0,High,3
4729,Male,25 - 45,43,Hispanic,,0,Low,1
4730,Male,Less than 25,20,Caucasian,Grand Theft of the 2nd Degree,1,Low,5
4731,Male,Less than 25,21,African-American,Grand Theft in the 3rd Degree,0,Medium,7
4732,Male,Less than 25,21,African-American,Burglary Unoccupied Dwelling,0,Medium,8
4733,Male,Greater than 45,50,Caucasian,,0,Low,5
4734,Female,Greater than 45,51,African-American,Uttering a Forged Instrument,0,Low,1
4735,Male,Less than 25,23,African-American,Grand Theft in the 3rd Degree,0,Medium,8
4736,Male,25 - 45,35,African-American,Battery,2,Low,2
4737,Male,Greater than 45,46,African-American,arrest case no charge,3,Low,3
4738,Male,25 - 45,30,African-American,Battery,0,Medium,2
4739,Male,25 - 45,25,African-American,Driving While License Revoked,21,High,9
4740,Male,Greater than 45,55,African-American,Grand Theft in the 3rd Degree,0,Low,1
4741,Female,Less than 25,21,Caucasian,Battery,0,Low,4
4742,Female,25 - 45,27,African-American,Aggrav Battery w/Deadly Weapon,0,Low,2
4743,Male,25 - 45,35,Hispanic,Possession of Cocaine,5,Medium,5
4744,Female,25 - 45,26,Caucasian,Felony Battery (Dom Strang),0,Low,3
4745,Female,25 - 45,31,Caucasian,arrest case no charge,3,Medium,2
4746,Male,25 - 45,27,African-American,arrest case no charge,3,Low,5
4747,Male,25 - 45,34,African-American,Deliver Cocaine,12,Medium,6
4748,Female,25 - 45,30,African-American,Battery,0,Low,2
4749,Male,Greater than 45,47,Caucasian,Grand Theft in the 3rd Degree,1,Low,1
4750,Male,25 - 45,30,Caucasian,Use of Anti-Shoplifting Device,4,Low,2
4751,Male,Greater than 45,46,Hispanic,Aggravated Assault W/Dead Weap,1,Low,2
4752,Male,Less than 25,21,Caucasian,Possession of Cannabis,2,Low,5
4753,Male,25 - 45,33,Hispanic,Disorderly Conduct,0,Low,1
4754,Male,Greater than 45,47,African-American,Possession of Cocaine,1,Low,1
4755,Male,25 - 45,42,African-American,arrest case no charge,33,Medium,3
4756,Male,Less than 25,24,African-American,,0,Medium,7
4757,Male,25 - 45,39,African-American,Possession of Cocaine,1,Low,1
4758,Male,25 - 45,33,African-American,,0,Medium,4
4759,Male,25 - 45,38,Hispanic,arrest case no charge,4,Medium,4
4760,Male,Greater than 45,50,Caucasian,arrest case no charge,11,Low,1
4761,Male,25 - 45,30,Hispanic,Susp Drivers Lic 1st Offense,2,Low,2
4762,Female,Less than 25,23,African-American,Battery,0,Medium,5
4763,Male,Less than 25,24,Caucasian,Possession Of Alprazolam,1,Low,4
4764,Female,Less than 25,22,African-American,Robbery Sudd Snatch No Weapon,2,High,6
4765,Male,Greater than 45,45,Caucasian,Aggrav Stalking After Injunctn,3,Low,1
4766,Male,25 - 45,26,Caucasian,Grand Theft in the 3rd Degree,2,High,3
4767,Male,25 - 45,39,Caucasian,Possession of Cocaine,3,Low,1
4768,Male,Less than 25,22,Caucasian,Burglary Structure Unoccup,2,Medium,6
4769,Male,25 - 45,40,Caucasian,Grand Theft in the 3rd Degree,1,Low,1
4770,Female,25 - 45,28,Caucasian,arrest case no charge,1,Medium,3
4771,Male,25 - 45,36,Caucasian,Grand Theft in the 3rd Degree,1,Medium,2
4772,Male,Less than 25,24,African-American,Possession of Cannabis,0,High,6
4773,Male,Less than 25,23,African-American,Possession of Cocaine,1,Medium,4
4774,Male,Greater than 45,61,Caucasian,Driving Under The Influence,0,Low,1
4775,Male,25 - 45,42,Caucasian,Solicitation On Felony 3 Deg,3,Medium,3
4776,Male,25 - 45,38,African-American,Felony Battery (Dom Strang),3,Low,1
4777,Male,25 - 45,29,Native American,Battery,0,Low,2
4778,Male,Greater than 45,67,Caucasian,Grand Theft in the 3rd Degree,0,Low,1
4779,Male,25 - 45,27,Caucasian,Battery,0,Low,2
4780,Male,Less than 25,23,Caucasian,Aggravated Assault W/Dead Weap,2,Medium,7
4781,Male,25 - 45,44,Caucasian,arrest case no charge,7,Medium,3
4782,Male,25 - 45,43,African-American,arrest case no charge,7,Medium,3
4783,Male,25 - 45,31,Caucasian,Possession Of Heroin,1,Low,2
4784,Male,25 - 45,40,African-American,arrest case no charge,15,High,6
4785,Male,Greater than 45,60,African-American,Felony Driving While Lic Suspd,1,Low,1
4786,Male,25 - 45,34,African-American,Possession of Cocaine,5,High,7
4787,Male,25 - 45,44,African-American,arrest case no charge,0,Low,2
4788,Female,25 - 45,40,Caucasian,Poss Of Controlled Substance,0,Low,1
4789,Male,25 - 45,37,African-American,Leaving the Scene of Accident,10,Medium,2
4790,Female,Greater than 45,54,Caucasian,Felony Committing Prostitution,9,High,1
4791,Male,Less than 25,23,African-American,,0,Low,4
4792,Female,Less than 25,22,African-American,Petit Theft $100- $300,3,High,6
4793,Male,25 - 45,31,Caucasian,Battery,6,Low,2
4794,Male,25 - 45,28,African-American,Cash Item w/Intent to Defraud,9,Medium,7
4795,Male,Greater than 45,57,African-American,Resist Officer w/Violence,2,High,4
4796,Male,Less than 25,24,Other,arrest case no charge,5,Medium,4
4797,Male,25 - 45,33,Caucasian,Possession Of Phentermine,9,Low,3
4798,Male,25 - 45,31,African-American,DUI - Enhanced,0,Low,2
4799,Male,25 - 45,28,Caucasian,Resist/Obstruct W/O Violence,2,Medium,3
4800,Female,25 - 45,30,African-American,Possession of Cocaine,10,High,9
4801,Male,25 - 45,31,Other,arrest case no charge,5,Low,2
4802,Male,Greater than 45,56,Caucasian,Grand Theft in the 3rd Degree,7,Medium,1
4803,Female,25 - 45,32,African-American,,0,Low,1
4804,Male,Greater than 45,67,Hispanic,Fel Drive License Perm Revoke,2,Low,1
4805,Male,25 - 45,35,African-American,"Poss3,4 Methylenedioxymethcath",0,Medium,3
4806,Female,25 - 45,33,Hispanic,,0,Low,2
4807,Male,Greater than 45,61,Hispanic,Felony DUI (level 3),2,Low,1
4808,Male,Greater than 45,57,African-American,arrest case no charge,23,High,7
4809,Female,25 - 45,39,Caucasian,Poss Pyrrolidinovalerophenone,8,Medium,5
4810,Male,Greater than 45,69,African-American,Driving Under The Influence,0,Low,1
4811,Male,Greater than 45,65,Caucasian,Burglary Unoccupied Dwelling,3,Low,2
4812,Female,Less than 25,22,Caucasian,Battery,0,High,7
4813,Male,Greater than 45,60,African-American,Fleeing Or Attmp Eluding A Leo,11,High,7
4814,Female,25 - 45,39,African-American,Possession of Oxycodone,1,Low,1
4815,Female,25 - 45,35,African-American,arrest case no charge,2,Medium,2
4816,Male,25 - 45,37,African-American,Threat Public Servant,2,Medium,5
4817,Male,25 - 45,29,African-American,Battery,2,Low,4
4818,Male,25 - 45,37,Caucasian,Battery on Law Enforc Officer,2,Low,1
4819,Female,Greater than 45,47,Other,Battery,0,Low,1
4820,Male,Greater than 45,62,African-American,Retail Theft $300 1st Offense,13,High,5
4821,Male,Less than 25,22,African-American,arrest case no charge,5,High,6
4822,Female,25 - 45,27,African-American,Uttering a Forged Instrument,5,High,9
4823,Male,Greater than 45,55,Caucasian,,0,Low,1
4824,Male,25 - 45,31,African-American,arrest case no charge,6,High,5
4825,Male,Less than 25,22,African-American,Poss Of RX Without RX,0,Low,5
4826,Male,25 - 45,31,Hispanic,Driving While License Revoked,8,Low,3
4827,Female,Greater than 45,56,African-American,Possession of Cocaine,1,Low,1
4828,Male,25 - 45,25,Caucasian,arrest case no charge,2,Medium,5
4829,Female,25 - 45,33,African-American,Grand Theft (Motor Vehicle),0,High,5
4830,Male,25 - 45,34,Caucasian,Battery,2,Low,1
4831,Male,25 - 45,33,Caucasian,Battery,10,Low,2
4832,Male,Greater than 45,58,Caucasian,,0,Low,1
4833,Male,25 - 45,25,Caucasian,Grand Theft in the 3rd Degree,2,Medium,6
4834,Female,25 - 45,27,African-American,Robbery / No Weapon,3,Medium,3
4835,Male,25 - 45,37,African-American,Felony Petit Theft,1,High,10
4836,Male,Greater than 45,51,Caucasian,,0,Low,1
4837,Male,25 - 45,41,Caucasian,arrest case no charge,2,Low,1
4838,Male,25 - 45,25,African-American,Battery,2,Low,4
4839,Male,25 - 45,35,African-American,Battery on Law Enforc Officer,5,High,5
4840,Male,25 - 45,25,Hispanic,Battery,1,Medium,3
4841,Male,Greater than 45,55,Caucasian,Battery,0,Low,1
4842,Female,25 - 45,26,African-American,Grand Theft in the 3rd Degree,0,Low,2
4843,Male,Greater than 45,51,Hispanic,,0,Low,1
4844,Female,Less than 25,24,African-American,arrest case no charge,1,Medium,5
4845,Male,25 - 45,26,African-American,Burglary Conveyance Unoccup,2,Low,3
4846,Male,25 - 45,35,African-American,arrest case no charge,7,Low,3
4847,Male,Greater than 45,50,Caucasian,Reckless Driving,3,Low,6
4848,Male,25 - 45,30,African-American,Battery,1,High,9
4849,Female,25 - 45,33,Caucasian,arrest case no charge,2,Low,1
4850,Female,Greater than 45,52,African-American,Susp Drivers Lic 1st Offense,12,Medium,1
4851,Male,25 - 45,25,African-American,Possession of Cocaine,3,Medium,4
4852,Male,25 - 45,31,African-American,Possession of Cocaine,1,Low,2
4853,Female,Greater than 45,65,Caucasian,Lve/Scen/Acc/Veh/Prop/Damage,1,Low,1
4854,Female,25 - 45,43,African-American,,0,Low,3
4855,Female,Greater than 45,54,African-American,Possession of Cocaine,6,Low,1
4856,Male,25 - 45,31,African-American,arrest case no charge,0,Low,3
4857,Female,25 - 45,31,African-American,Felony Driving While Lic Suspd,0,Medium,2
4858,Male,Less than 25,24,African-American,Uttering a Forged Instrument,0,Low,4
4859,Female,Less than 25,24,Hispanic,Grand Theft in the 3rd Degree,0,Low,3
4860,Female,Less than 25,24,African-American,Battery,0,Low,3
4861,Male,25 - 45,34,African-American,arrest case no charge,6,High,9
4862,Male,Less than 25,24,Other,Battery,3,High,7
4863,Male,25 - 45,25,African-American,Driving While License Revoked,0,High,5
4864,Female,25 - 45,30,African-American,Possession of Cocaine,4,Medium,2
4865,Female,25 - 45,35,Hispanic,Battery,0,Low,1
4866,Male,25 - 45,30,African-American,arrest case no charge,14,Medium,7
4867,Male,25 - 45,40,African-American,arrest case no charge,4,High,6
4868,Male,Less than 25,24,Caucasian,,0,Low,3
4869,Female,Greater than 45,63,African-American,Viol Prot Injunc Repeat Viol,1,Low,1
4870,Male,Less than 25,24,Caucasian,Criminal Mischief Damage <$200,1,Low,3
4871,Male,Greater than 45,51,Caucasian,Interference with Custody,3,Low,1
4872,Female,25 - 45,28,African-American,Grand Theft in the 3rd Degree,3,Low,3
4873,Female,25 - 45,27,African-American,Drivg While Lic Suspd/Revk/Can,4,Medium,2
4874,Male,25 - 45,40,Caucasian,Battery,1,Low,2
4875,Male,Greater than 45,63,Other,,0,Low,1
4876,Male,Greater than 45,50,Other,arrest case no charge,5,Low,1
4877,Male,Less than 25,22,Caucasian,Possession of Cocaine,2,Low,4
4878,Male,25 - 45,26,Hispanic,Felony Battery w/Prior Convict,2,Low,3
4879,Male,25 - 45,29,African-American,Traffic Counterfeit Cred Cards,2,Low,3
4880,Female,25 - 45,27,Caucasian,Possession of Cocaine,3,Medium,4
4881,Male,25 - 45,31,African-American,Deliver Cocaine,0,Medium,3
4882,Male,Less than 25,23,African-American,Possession of Cocaine,4,High,9
4883,Female,Less than 25,21,Caucasian,Possess Cannabis/20 Grams Or Less,2,Medium,6
4884,Male,25 - 45,31,Caucasian,Viol Injunct Domestic Violence,0,Low,2
4885,Female,25 - 45,32,African-American,arrest case no charge,3,Low,2
4886,Male,25 - 45,27,African-American,Burglary Structure Unoccup,1,Low,3
4887,Male,25 - 45,29,Caucasian,Possession of Hydromorphone,6,Medium,2
4888,Male,Greater than 45,59,African-American,arrest case no charge,3,Low,2
4889,Male,25 - 45,29,African-American,arrest case no charge,2,High,4
4890,Male,Less than 25,24,African-American,Battery,1,Low,5
4891,Female,25 - 45,27,Caucasian,Battery on Law Enforc Officer,1,Low,3
4892,Male,Less than 25,24,African-American,Felony Battery (Dom Strang),1,Low,3
4893,Male,25 - 45,33,African-American,Burglary Conveyance Unoccup,0,High,6
4894,Female,25 - 45,35,Other,Battery,0,Low,1
4895,Female,25 - 45,40,Other,Aggravated Assault W/Dead Weap,1,Low,1
4896,Female,25 - 45,27,Caucasian,DUI Level 0.15 Or Minor In Veh,0,Low,2
4897,Male,25 - 45,28,Caucasian,arrest case no charge,9,High,8
4898,Male,Less than 25,20,African-American,Grand Theft (Motor Vehicle),1,High,10
4899,Male,Greater than 45,48,Caucasian,Failure To Return Hired Vehicle,0,Low,1
4900,Female,25 - 45,40,Other,arrest case no charge,0,Low,1
4901,Male,Less than 25,23,African-American,arrest case no charge,4,High,8
4902,Male,Greater than 45,53,Hispanic,Battery,3,Low,3
4903,Male,25 - 45,27,Hispanic,,0,Low,5
4904,Male,Greater than 45,45,Other,Battery,0,Low,1
4905,Male,25 - 45,31,African-American,arrest case no charge,1,Medium,5
4906,Male,Less than 25,24,African-American,arrest case no charge,9,High,7
4907,Male,25 - 45,31,African-American,Grand Theft in the 3rd Degree,16,High,6
4908,Male,Less than 25,24,African-American,,0,Medium,5
4909,Male,25 - 45,25,Hispanic,Battery,0,Low,4
4910,Male,Less than 25,24,Caucasian,,0,Low,5
4911,Male,Less than 25,24,African-American,"Possession Of 3,4Methylenediox",0,High,9
4912,Male,Less than 25,23,Hispanic,Possess Cannabis/20 Grams Or Less,6,High,5
4913,Male,25 - 45,31,African-American,Battery,1,Low,2
4914,Male,Less than 25,23,African-American,Carrying Concealed Firearm,7,High,7
4915,Female,Less than 25,22,African-American,Unauth Poss ID Card or DL,1,Medium,5
4916,Male,25 - 45,33,Caucasian,arrest case no charge,1,Low,2
4917,Female,Greater than 45,47,Hispanic,arrest case no charge,2,Low,1
4918,Male,25 - 45,26,Caucasian,Battery,0,High,8
4919,Female,25 - 45,34,African-American,Aggrav Battery w/Deadly Weapon,1,Low,2
4920,Male,25 - 45,42,African-American,Crim Use of Personal ID Info,0,Low,1
4921,Male,Greater than 45,48,Hispanic,DUI/Property Damage/Persnl Inj,0,Low,1
4922,Male,25 - 45,35,Hispanic,Operating W/O Valid License,0,Low,1
4923,Male,Less than 25,24,Other,arrest case no charge,3,Low,4
4924,Male,Greater than 45,47,Caucasian,Grand Theft in the 3rd Degree,0,Low,1
4925,Male,Greater than 45,62,Caucasian,Crim Use of Personal ID Info,0,Low,1
4926,Male,Greater than 45,52,African-American,arrest case no charge,19,Low,1
4927,Female,25 - 45,25,African-American,arrest case no charge,4,Medium,4
4928,Male,25 - 45,25,Other,Possession of Cocaine,1,Low,3
4929,Male,Greater than 45,49,African-American,Assault,1,Medium,4
4930,Male,25 - 45,30,African-American,Pos Cannabis W/Intent Sel/Del,8,Medium,5
4931,Male,Greater than 45,50,Caucasian,Felony Battery (Dom Strang),0,Low,1
4932,Male,Greater than 45,47,African-American,Poss Pyrrolidinovalerophenone,3,High,3
4933,Male,25 - 45,37,African-American,Driving While License Revoked,14,High,3
4934,Male,25 - 45,26,Caucasian,Battery,0,Low,3
4935,Male,25 - 45,28,African-American,Driving While License Revoked,21,High,10
4936,Female,25 - 45,26,African-American,Pos Cannabis W/Intent Sel/Del,3,Low,2
4937,Male,Greater than 45,48,Other,Driving While License Revoked,4,Low,1
4938,Male,25 - 45,25,African-American,Burglary Unoccupied Dwelling,1,Low,4
4939,Male,Less than 25,20,African-American,Grand Theft (Motor Vehicle),1,High,10
4940,Male,25 - 45,34,African-American,Pos Cannabis W/Intent Sel/Del,9,High,5
4941,Male,25 - 45,26,Hispanic,Reckless Driving,1,Low,2
4942,Male,Less than 25,21,African-American,Crim Use of Personal ID Info,0,Low,5
4943,Male,Greater than 45,46,African-American,Grand Theft in the 3rd Degree,9,High,7
4944,Male,Less than 25,21,African-American,Grand Theft in the 3rd Degree,0,High,7
4945,Female,25 - 45,27,Caucasian,arrest case no charge,2,Medium,3
